id,slider_values,article_number,user_id,time_spent,submit_date
427,70,B,87f6105a-538c-4e80-b056-413b716afb98,229,2025-04-29 20:48:18.702+00
428,90,B,b9949d7c-df28-4eea-9f4e-c7f93134b52f,279,2025-04-29 21:18:14.472+00
429,80,A1,b9949d7c-df28-4eea-9f4e-c7f93134b52f,981,2025-04-29 21:34:43.793+00
430,25,B,07489f81-bcb2-4e9c-b726-a79f32af3d1e,296,2025-04-30 06:21:31.417+00
431,35,A1,07489f81-bcb2-4e9c-b726-a79f32af3d1e,422,2025-04-30 06:28:43.207+00
432,35,A4,032dc24e-acfd-412e-98bd-53949ec78373,319,2025-04-30 06:48:43.032+00
433,100,B,032dc24e-acfd-412e-98bd-53949ec78373,160,2025-04-30 06:51:31.803+00
434,90,A4,3cf5b1b8-bc91-4ce3-9476-bf886e202ba7,338,2025-04-30 11:44:00.062+00
435,87,B,3cf5b1b8-bc91-4ce3-9476-bf886e202ba7,240,2025-04-30 11:48:14.021+00
436,75,B,2de9490e-dc96-40de-9b0d-526a10b9e271,251,2025-04-30 12:29:55.757+00
437,40,A1,2de9490e-dc96-40de-9b0d-526a10b9e271,242,2025-04-30 12:35:23.547+00
438,75,B,40ad1c24-85f3-4aa1-82c2-7815e5257b04,258,2025-04-30 12:36:29.529+00
439,94,A4,40ad1c24-85f3-4aa1-82c2-7815e5257b04,136,2025-04-30 12:38:53.224+00
440,50,B,db9e42d0-c61a-48f0-9307-2a840417eeca,40,2025-04-30 12:39:57.232+00
441,50,A1,db9e42d0-c61a-48f0-9307-2a840417eeca,40,2025-04-30 12:40:44.445+00
442,40,A4,acbb3cfe-5785-4584-a539-0fff5b89823d,442,2025-04-30 17:06:25.084+00
443,34,B,acbb3cfe-5785-4584-a539-0fff5b89823d,401,2025-04-30 17:13:13.43+00
444,92,A4,e348dd0e-b32e-4ecf-8587-25b94754be28,324,2025-05-01 09:51:26.562+00
445,28,B,e348dd0e-b32e-4ecf-8587-25b94754be28,329,2025-05-01 09:57:07.179+00
446,85,A4,e9bd7cd2-1a34-468f-aab3-720188b4d483,209,2025-05-01 16:52:37.627+00
447,85,B,e9bd7cd2-1a34-468f-aab3-720188b4d483,106,2025-05-01 16:54:32.068+00
448,75,B,1dc9c374-2d07-473e-8ba3-baba7c8f30f9,200,2025-05-01 18:44:46.648+00
449,80,A1,fc40d620-f34f-4f53-8c69-e30ae4445281,171,2025-05-01 20:25:07.179+00
450,40,B,fc40d620-f34f-4f53-8c69-e30ae4445281,213,2025-05-01 20:28:48.159+00
451,63,B,4cf61990-a46a-4e8e-aa55-57bece601313,363,2025-05-01 20:29:17.292+00
452,79,A1,4cf61990-a46a-4e8e-aa55-57bece601313,335,2025-05-01 20:35:01.077+00
453,33,B,5b7b88dc-a0f9-49b1-aae0-5d726731aa28,495,2025-05-01 20:42:54.342+00
454,25,A4,5b7b88dc-a0f9-49b1-aae0-5d726731aa28,370,2025-05-01 20:49:12.918+00
