id,slider_values,article_number,user_id,time_spent,submit_date
299,91,A1,e2da9eb8-cc40-487f-a517-59315f549320,22,2025-04-24 16:05:38.532+00
300,78,B,e2da9eb8-cc40-487f-a517-59315f549320,17,2025-04-24 16:06:02.781+00
302,95,A1,6cb40a9b-72b4-4114-a4c6-f7ea062aab18,344,2025-04-24 19:58:51.461+00
303,70,B,6cb40a9b-72b4-4114-a4c6-f7ea062aab18,178,2025-04-24 20:01:57.148+00
329,83,A1,8209ef2d-e1e9-4c96-893d-73f116dd0b91,49,2025-04-28 08:35:38.512+00
330,62,B,8209ef2d-e1e9-4c96-893d-73f116dd0b91,31,2025-04-28 08:36:24.488+00
331,55,A4,ee5f19c4-8b38-47da-b1f0-71d0216f0e6b,12,2025-04-28 08:39:13.237+00
332,47,B,ee5f19c4-8b38-47da-b1f0-71d0216f0e6b,14,2025-04-28 08:39:37.869+00
333,78,A1,59403350-4831-486f-87bd-05469ac625f7,20,2025-04-28 09:03:22.842+00
334,53,B,59403350-4831-486f-87bd-05469ac625f7,55,2025-04-28 09:04:35.671+00
335,33,B,d8587347-40f0-4a58-9f15-d6102a3000a5,37,2025-04-28 09:55:10.537+00
336,55,A1,d8587347-40f0-4a58-9f15-d6102a3000a5,34,2025-04-28 09:55:51.873+00
337,35,A4,02024766-c912-4041-822d-666130719077,226,2025-04-28 09:59:03.064+00
338,70,B,2c520f1b-7324-4326-8aa6-164018175e3a,311,2025-04-28 10:03:00.137+00
339,30,B,02024766-c912-4041-822d-666130719077,186,2025-04-28 10:02:16.946+00
340,55,A1,2c520f1b-7324-4326-8aa6-164018175e3a,350,2025-04-28 10:08:59.823+00
341,100,A1,6cb40a9b-72b4-4114-a4c6-f7ea062aab18,167,2025-04-28 10:14:18.658+00
342,70,B,6cb40a9b-72b4-4114-a4c6-f7ea062aab18,46,2025-04-28 10:15:13.356+00
344,80,B,896b7477-2df5-4e84-80ed-6425cc2868a3,178,2025-04-28 10:21:39.914+00
345,30,A1,896b7477-2df5-4e84-80ed-6425cc2868a3,187,2025-04-28 10:24:57.049+00
346,35,B,37747f30-9e8c-411c-adea-ed033d938310,235,2025-04-28 10:44:48.449+00
347,76,A4,37747f30-9e8c-411c-adea-ed033d938310,179,2025-04-28 10:47:55.837+00
348,0,A1,70f57256-c961-497c-b945-93f8025239ba,475,2025-04-28 11:00:16.277+00
349,85,A1,3babbbec-80c0-416b-92d1-89a3c8fba47e,167,2025-04-28 11:01:32.441+00
350,100,B,70f57256-c961-497c-b945-93f8025239ba,84,2025-04-28 11:01:49.014+00
351,90,B,3babbbec-80c0-416b-92d1-89a3c8fba47e,78,2025-04-28 11:06:28.244+00
352,62,A4,af630123-73fe-4931-9eb9-caff805c6830,290,2025-04-28 11:07:58.337+00
353,86,B,af630123-73fe-4931-9eb9-caff805c6830,112,2025-04-28 11:09:57.156+00
354,50,B,f65930f4-8f62-455a-8bf9-c88b3e2a1299,184,2025-04-28 11:51:21.102+00
355,40,A4,f65930f4-8f62-455a-8bf9-c88b3e2a1299,246,2025-04-28 11:55:37.822+00
356,15,B,1ab2e1be-e468-4f3c-8c1a-8b2617f11fdb,269,2025-04-28 12:34:49.546+00
357,75,A1,1ab2e1be-e468-4f3c-8c1a-8b2617f11fdb,254,2025-04-28 12:39:32.96+00
358,75,B,9e9c5dd2-4f93-4c6f-83ab-835a5658736b,512,2025-04-28 13:06:31.234+00
359,30,A4,9e9c5dd2-4f93-4c6f-83ab-835a5658736b,497,2025-04-28 13:14:58.594+00
360,100,B,70f57256-c961-497c-b945-93f8025239ba,20,2025-04-28 13:18:33.534+00
361,5,A1,addaeace-89a3-4591-9df0-6bdbb492557e,2428,2025-04-28 14:32:46.614+00
362,90,B,addaeace-89a3-4591-9df0-6bdbb492557e,141,2025-04-28 14:35:16.601+00
364,65,B,157e096a-ed11-44d4-9929-f7368d09f78d,320,2025-04-28 14:43:59.281+00
365,76,A1,157e096a-ed11-44d4-9929-f7368d09f78d,113,2025-04-28 14:46:00.481+00
366,65,B,60ad7b2f-6879-4dcf-a0be-c74c1798f690,311,2025-04-28 18:07:18.132+00
367,75,A4,60ad7b2f-6879-4dcf-a0be-c74c1798f690,240,2025-04-28 18:11:27.93+00
368,100,A1,6f8812e4-38dd-4c38-ad96-310828f080e1,158,2025-04-29 07:52:14.94+00
369,10,A4,3b1f522c-af95-4d31-9146-a711bbbbe6c3,122,2025-04-29 07:52:47.841+00
