id,slider_values,article_number,user_id
102,43,B,51455be4-dd16-43bf-b1ac-e18e7fed8773
103,50,A1,51455be4-dd16-43bf-b1ac-e18e7fed8773
104,30,B,00000000-0000-0000-0000-000000000002
105,73,A2,00000000-0000-0000-0000-000000000002
106,47,B,00000000-0000-0000-0000-000000000003
107,4,A3,00000000-0000-0000-0000-000000000003
108,64,B,00000000-0000-0000-0000-000000000004
109,11,A4,00000000-0000-0000-0000-000000000004
110,81,B,00000000-0000-0000-0000-000000000005
111,28,A1,00000000-0000-0000-0000-000000000005
112,98,B,00000000-0000-0000-0000-000000000006
113,45,A2,00000000-0000-0000-0000-000000000006
114,52,B,00000000-0000-0000-0000-000000000007
115,7,A3,00000000-0000-0000-0000-000000000007
116,26,B,00000000-0000-0000-0000-000000000008
117,63,A4,00000000-0000-0000-0000-000000000008
118,77,B,00000000-0000-0000-0000-000000000009
119,24,A1,00000000-0000-0000-0000-000000000009
120,94,B,00000000-0000-0000-0000-000000000010
121,41,A2,00000000-0000-0000-0000-000000000010
122,58,B,00000000-0000-0000-0000-000000000011
123,3,A3,00000000-0000-0000-0000-000000000011
124,67,B,00000000-0000-0000-0000-000000000012
125,12,A4,00000000-0000-0000-0000-000000000012
126,18,B,00000000-0000-0000-0000-000000000013
127,79,A1,00000000-0000-0000-0000-000000000013
128,35,B,00000000-0000-0000-0000-000000000014
129,100,A2,00000000-0000-0000-0000-000000000014
130,56,B,00000000-0000-0000-0000-000000000015
131,13,A3,00000000-0000-0000-0000-000000000015
132,90,B,00000000-0000-0000-0000-000000000016
133,37,A4,00000000-0000-0000-0000-000000000016
134,51,B,00000000-0000-0000-0000-000000000017
135,8,A1,00000000-0000-0000-0000-000000000017
136,61,B,00000000-0000-0000-0000-000000000018
137,16,A2,00000000-0000-0000-0000-000000000018
138,74,B,00000000-0000-0000-0000-000000000019
139,21,A3,00000000-0000-0000-0000-000000000019
140,86,B,00000000-0000-0000-0000-000000000020
141,33,A4,00000000-0000-0000-0000-000000000020
142,59,B,00000000-0000-0000-0000-000000000021
143,6,A1,00000000-0000-0000-0000-000000000021
144,28,B,00000000-0000-0000-0000-000000000022
145,95,A2,00000000-0000-0000-0000-000000000022
146,48,B,00000000-0000-0000-0000-000000000023
147,5,A3,00000000-0000-0000-0000-000000000023
148,66,B,00000000-0000-0000-0000-000000000024
149,23,A4,00000000-0000-0000-0000-000000000024
150,89,B,00000000-0000-0000-0000-000000000025
151,36,A1,00000000-0000-0000-0000-000000000025
152,62,B,00000000-0000-0000-0000-000000000026
153,9,A2,00000000-0000-0000-0000-000000000026
154,44,B,00000000-0000-0000-0000-000000000027
155,1,A3,00000000-0000-0000-0000-000000000027
156,71,B,00000000-0000-0000-0000-000000000028
